name,location,cuisines,estimated_cost_for_two,rating
Ifruit Ice Cream,kumaraswamy layout,"desserts, ice cream",150.0,3.3
Havmor,basavanagudi,"desserts, ice cream",200.0,3.8
Grand Food,banashankari,"bakery, chinese, south indian",250.0,3.4
Dining Hut,kumaraswamy layout,"chinese, north indian, south indian",400.0,3.5
7 Hills Garden Restaurant,banashankari,"chinese, mughlai, north indian",400.0,
Desi Swaad,kumaraswamy layout,north indian,400.0,3.5
Yummy Momos,kumaraswamy layout,"chinese, momos, tibetan",200.0,3.2
Masale Daan,banashankari,north indian,350.0,3.1
Sri Manjunatha Tandoori Corner,uttarahalli,mughlai,300.0,
Grow Fit,jp nagar,"healthy food, north indian, thai",500.0,3.6
The House Of Vadapav,banashankari,,150.0,
Cutcakes,kumaraswamy layout,bakery,300.0,
Lassi Spot,kumaraswamy layout,,100.0,3.3
Sandwich Hub,jayanagar,"fast food, sandwich",300.0,3.4
Healthy Bakes 'n' Brew,jayanagar,bakery,150.0,
Udupi Sri Krishna Cafe,jayanagar,"north indian, south indian",600.0,3.9
Starlite Bakery & Fastfood,jayanagar,"arabian, bakery, charcoal chicken, chinese, desserts, north indian, rolls",300.0,3.7
Veganbreak24x7,city market,"biryani, chinese, continental, south indian",199.0,2.8
Aadhya Hotel,basavanagudi,"biryani, chinese, north indian, south indian",800.0,3.3
Dodda Mane Baaduta,banashankari,"biryani, chinese, north indian, south indian",250.0,3.5
Swadd Kitchen,basavanagudi,"fast food, north indian",500.0,3.4
Nandini Milk Parlour and Restaurant,mysore road,"ice cream, rolls, sandwich, south indian",250.0,
Happy Chopsticks,basavanagudi,"chinese, fast food",300.0,3.6
Sai Super Sandwich,banashankari,"beverages, sandwich",200.0,
Right Pizza,basavanagudi,pizza,300.0,
Udupi Upachar,banashankari,"north indian, south indian",500.0,3.3
Davanagere Benne Dose Hut,banashankari,south indian,100.0,3.4
The Sip Shop,basavanagudi,"beverages, ice cream, pizza",200.0,
Subz,jayanagar,"north indian, south indian",1000.0,4.2
Rajastani Rasoi,basavanagudi,north indian,100.0,
Sri Banashankari Upahara,kumaraswamy layout,"north indian, south indian",150.0,
Mint and Mustard,basavanagudi,"chinese, north indian",750.0,4.0
Chinese Square,basavanagudi,chinese,200.0,3.9
Hyderabad Express,banashankari,"andhra, beverages, biryani, hyderabadi, south indian",300.0,
Punjabi Raswada,jayanagar,north indian,800.0,3.5
Vinny's,banashankari,"continental, desserts, italian, pizza",800.0,4.2
Chetty's Corner,uttarahalli,"burger, fast food, pizza",200.0,3.4
Kapoor's Cafe,jayanagar,north indian,800.0,4.2
Donne Biryani & Kabab Corner,kumaraswamy layout,"biryani, chinese",200.0,3.3
Sukh Sagar,jayanagar,"chinese, north indian, south indian, street food",450.0,3.8
S M V Snacks Corner,basavanagudi,fast food,200.0,3.7
Andhra Ruchulu,jayanagar,"andhra, biryani, chinese, north indian",1000.0,4.1
The Samosa Co,jayanagar,"fast food, mithai",200.0,
Steaming Mugs,basavanagudi,cafe,700.0,3.9
Rajathadri Food Fort,jayanagar,"chinese, north indian, south indian, street food",600.0,4.0
Brew Meister,jayanagar,"american, asian, continental, finger food, north indian",1500.0,4.1
Rasoi,banashankari,"chinese, north indian",300.0,3.3
Mr. Singh Da Dhaba,kumaraswamy layout,"chinese, north indian",300.0,3.6
Kababs N Biryani,banashankari,south indian,200.0,3.4
Ayodhya Upachar,banashankari,"chinese, north indian, south indian, street food",200.0,4.3
Biriyani Mane,jayanagar,"biryani, north indian",400.0,3.8
Cafe Ajfan,jayanagar,"beverages, cafe, continental",700.0,4.2
Brundhavana Food Point,kumaraswamy layout,"beverages, chinese, north indian, south indian, street food",300.0,4.0
SLV Corner Restaurant,basavanagudi,"chinese, juices, north indian, rolls, south indian, street food",550.0,4.1
Biryani Royals Garden,kumaraswamy layout,"biryani, mughlai, north indian",500.0,
Hotel New Karavali,banashankari,"mangalorean, north indian, south indian",300.0,3.8
The Krishna Grand,banashankari,"chinese, fast food, juices, north indian, south indian",750.0,3.9
Roti Ghar,basavanagudi,"chinese, north indian, south indian",500.0,3.9
Multi Snacky Hub,basavanagudi,fast food,200.0,
Kettle & Kegs,banashankari,"beverages, tea",200.0,3.2
Baisakhi,basavanagudi,north indian,500.0,3.8
Poonam Sweets,banashankari,mithai,150.0,4.4
Amma's Pastries,banashankari,bakery,400.0,3.8
Polar Bear,banashankari,"beverages, desserts, ice cream, sandwich",400.0,3.9
Anand Sweets and Savouries,banashankari,"mithai, street food",400.0,3.7
Ibaco,banashankari,desserts,300.0,3.9
The Lassi and Juice Park,banashankari,"desserts, juices",150.0,3.8
Corner Stone,banashankari,"beverages, desserts, italian, juices",300.0,3.6
Arun Ice Cream,banashankari,"desserts, ice cream",150.0,3.4
Melting Melodies,banashankari,bakery,300.0,
Sweet N Swirl,banashankari,"desserts, ice cream",150.0,3.2
Mukesh Sweet Centre,banashankari,mithai,300.0,
Gopi Ice Creams,banashankari,ice cream,100.0,
Sri Venkateshwara Sweet Meat Stall,basavanagudi,"chinese, mithai, north indian, street food",400.0,4.0
Baskin Robbins,basavanagudi,"desserts, ice cream",250.0,3.7
Srinivasa Brahmins Bakery,basavanagudi,"bakery, street food",150.0,3.6
Jain Bakes,basavanagudi,"bakery, desserts",250.0,3.6
KC Das - Sweet Spot,basavanagudi,"mithai, street food",200.0,3.6
A2B Veg - Adyar Ananda Bhavan,basavanagudi,"chinese, north indian, south indian, street food",400.0,2.7
Cakecraft,jayanagar,desserts,350.0,
My Tea House,banashankari,"asian, continental, north indian, tea",500.0,
Jcubez,banashankari,finger food,1300.0,3.8
Ferment,banashankari,continental,1000.0,
Chung Wah,banashankari,"chinese, momos, thai, vietnamese",900.0,3.9
Blue Wings Bar & Restaurant,banashankari,"chinese, north indian",700.0,3.7
New Imperial Restaurant,banashankari,"chinese, north indian",450.0,3.7
7 Hills Restaurant,banashankari,"north indian, south indian",500.0,
Karavali Fish Center,banashankari,"chinese, mangalorean",300.0,3.4
Iyer's Tiffin Centre,banashankari,"chinese, south indian",150.0,3.8
Kydz Adda,banashankari,continental,500.0,3.4
Food Box Cafe,banashankari,"chinese, mughlai, north indian",500.0,3.6
Linnet Bar & Restaurant,banashankari,"fast food, finger food",500.0,
Sri Ganesh Juice and Chats,banashankari,"juices, street food",150.0,3.5
Manifest Cafe,banashankari,"chinese, north indian, south indian",500.0,3.5
Beijing Bites,banashankari,"chinese, thai",850.0,2.7
Karavali Lunch Home,banashankari,"mangalorean, north indian, seafood, south indian",400.0,
SLN Bar and Restaurant,banashankari,"chinese, north indian",700.0,
Parijatha Paradise,banashankari,"chinese, fast food, north indian, south indian, street food",500.0,
Taaza Thindi,banashankari,south indian,100.0,4.7
Kaapi Corner,banashankari,south indian,100.0,
Sri Laxmi Venkateshwara Coffee Bar,banashankari,south indian,100.0,4.4
Messy Bowl,banashankari,"beverages, fast food",500.0,3.8
Brahmin Cafe,banashankari,south indian,150.0,3.8
Hotel Mangala,banashankari,south indian,250.0,3.9
Simple Thindies,banashankari,south indian,200.0,3.5
SLV Swadishta,banashankari,south indian,300.0,3.8
New Sagar Fast Food,banashankari,"north indian, south indian",250.0,3.6
Parama Ruchi,banashankari,"chinese, north indian, south indian, street food",300.0,3.5
Thrilok Restaurant,banashankari,"mangalorean, seafood",350.0,3.4
Shri Guru Raghavendra Grand Veg,banashankari,"chinese, north indian, south indian",400.0,
Pizza Stop,banashankari,"italian, pizza",600.0,3.0
Hanumanthanagar Biryani Junction,banashankari,south indian,300.0,3.5
SLV Refreshment,banashankari,south indian,100.0,4.1
SVKP Daily Fresh,banashankari,south indian,350.0,3.3
Srinagar Kabab Corner,banashankari,north indian,250.0,3.4
Sri Venkateshwara Chat Centre,banashankari,street food,100.0,3.5
Vinay Bhel Corner,banashankari,street food,100.0,3.4
Roti Land,banashankari,north indian,200.0,
Nandi Chats and Juice,banashankari,street food,150.0,3.6
Yaarub Hotel,banashankari,biryani,250.0,
Rotti Mane,banashankari,south indian,100.0,
Karnataka Bhel House,banashankari,street food,150.0,
The Coorg Kitchen,banashankari,south indian,400.0,
Just Shawarma,banashankari,arabian,300.0,3.8
FOOD ADDA,banashankari,fast food,200.0,3.2
Hotel Nisarga,banashankari,"north indian, south indian",250.0,3.2
Yo Roll Corner,banashankari,"rolls, street food",200.0,3.0
New Quality Dum Biryani,banashankari,biryani,200.0,3.1
Sri Lakshmi Kabab Center,banashankari,kebab,200.0,3.3
Cueferia A-Cafe,banashankari,"chinese, fast food, italian, north indian, south indian",400.0,
Dtink Lab,banashankari,"beverages, sandwich",80.0,
Shree Udupi South kitchen,banashankari,south indian,150.0,
Tasty Bites,banashankari,"fast food, pizza",150.0,3.7
Raams Chicken,banashankari,andhra,300.0,3.6
Panchami,banashankari,"chinese, north indian",300.0,3.0
Bangalore Kabab Palace,banashankari,"andhra, biryani",150.0,
Quality Dum Biriyani,banashankari,"biryani, kebab",150.0,
Taja Coffee,banashankari,south indian,150.0,
New Prakash Hotel,banashankari,south indian,250.0,
Kings Court Daba,banashankari,"chinese, north indian",450.0,
MM Tiffen Center,banashankari,"fast food, south indian",150.0,
Sri Raghavendra Prasanna Coffee Beans Club,banashankari,south indian,150.0,
Sri Balaji Tiffin Centre,banashankari,"chinese, south indian",300.0,
Kavali,banashankari,"south indian, street food",300.0,4.0
Ranganna Military Hotel,jayanagar,"biryani, south indian",350.0,4.2
Vidyarthi Bhavan,basavanagudi,south indian,150.0,4.4
Bharjari Oota,basavanagudi,south indian,350.0,3.9
Bridgeway,mysore road,"chinese, north indian",550.0,3.8
Soho Bar & Grill,basavanagudi,"chinese, north indian, thai",1100.0,2.7
Bhavani Restaurant,basavanagudi,"chinese, north indian, south indian",300.0,3.9
Zephyr,basavanagudi,"continental, italian",650.0,3.9
Hotel Dwarka,basavanagudi,south indian,250.0,4.2
Nisarga Garden Restaurant,basavanagudi,"beverages, chinese, desserts, south indian",350.0,3.4
Ma-Arya Family Restaurant,basavanagudi,"andhra, biryani, chinese, north indian, south indian",600.0,3.7
A2B - Adyar Ananda Bhavan,mysore road,"fast food, south indian, street food",400.0,3.8
New Prashanth Hotel,basavanagudi,south indian,400.0,3.9
Udupi Sri Krishna Bhavan,basavanagudi,south indian,600.0,4.1
Ice Thunder,basavanagudi,"desserts, fast food, north indian, south indian",300.0,3.8
Upahara Darshini,basavanagudi,south indian,150.0,4.2
Mahalaxmi Tiffin Room,basavanagudi,south indian,100.0,4.1
Sandwichwallas,basavanagudi,fast food,200.0,4.0
Basavanagudi Mylari,basavanagudi,south indian,300.0,4.0
New Prashanth Hotel,basavanagudi,"biryani, chinese, north indian, south indian",750.0,2.9
Shrinidhi Military Hotel,basavanagudi,"mughlai, north indian",300.0,3.3
Pramukh Family Restaurant,basavanagudi,"chinese, mughlai, north indian",700.0,3.9
Vybhava,jayanagar,"north indian, south indian",250.0,3.8
Shree Venkateshwara North Karnataka Hotel,basavanagudi,south indian,200.0,4.0
Anand Sagar Inn,basavanagudi,"chinese, north indian, south indian",450.0,3.3
Sangam Military Hotel,jayanagar,south indian,250.0,3.2
Pallavi Bar & Restaurant,mysore road,"chinese, north indian, south indian",550.0,
Belly Squad Food Truck,south bangalore,"biryani, chinese, momos, rolls",300.0,3.8
Tejas Bar and Restaurant,nagarbhavi,"chinese, south indian",800.0,
Old Days North Indian Restaurant,basavanagudi,north indian,450.0,
50-50 EATING HOUSE,basavanagudi,"biryani, south indian",100.0,3.2
Om Shiva Shakthi Chats Centre,basavanagudi,"fast food, street food",300.0,3.9
Rolls Corner,basavanagudi,"fast food, rolls",150.0,3.6
Charisma's Matru Sagar,mysore road,"chinese, south indian",150.0,
New Ambur Hot Dum Biryani,mysore road,biryani,150.0,3.2
Sticke2Waffles,basavanagudi,"fast food, south indian",100.0,
Nimmoora Thindi,mysore road,"north indian, south indian",400.0,
Oasis Food Center,basavanagudi,fast food,150.0,
Godumana Moddha Hotel,mysore road,biryani,250.0,
Ambur Dum Biriyani,basavanagudi,biryani,160.0,
Food Plaza,basavanagudi,"chinese, north indian, south indian",150.0,
Deja Vu Resto Bar,bannerghatta road,"italian, north indian",900.0,4.4
Fattoush,bannerghatta road,"arabian, biryani, chinese, fast food, middle eastern, mughlai, north indian, seafood",1000.0,4.2
Empire Restaurant,bannerghatta road,"chinese, mughlai, north indian, south indian",750.0,4.3
Abhiruchi Hotel,bannerghatta road,"andhra, biryani, chinese, north indian",550.0,3.3
Tulips,bannerghatta road,"chinese, continental, north indian, south indian",800.0,3.1
Barbeque Nation,jp nagar,"bbq, european, kebab, mediterranean, north indian",1600.0,4.7
Sattvam,jp nagar,"north indian, south indian",1200.0,4.3
24th Main,jp nagar,"chinese, north indian, south indian",800.0,4.1
Zaitoon,jp nagar,"arabian, bbq, chinese, desserts, north indian",1000.0,4.1
Mango Greens,jp nagar,"chinese, continental, north indian",900.0,3.9
Oye Amritsar,jp nagar,north indian,1000.0,3.8
Melt - Eden Park,jp nagar,"chinese, mughlai, north indian, seafood, thai",1000.0,4.0
Crave Bit Cafe,jp nagar,cafe,600.0,
Spice Code,jp nagar,"biryani, chinese, north indian, south indian",1000.0,4.0
The Onyx - The HHI Select Bengaluru,jp nagar,"chinese, continental, north indian",950.0,3.3
The Pavillion,jp nagar,"chinese, continental, north indian, south indian",1000.0,2.7
Sankranthi Veg Restaurant,btm,"chinese, north indian, south indian",600.0,3.0
Tisano Cafe,bannerghatta road,"cafe, chinese, continental, fast food",500.0,3.8
Cafe Kabana,bannerghatta road,"cafe, continental",700.0,4.0
Butterly,bannerghatta road,"bakery, beverages, cafe",450.0,3.9
Cafe Conico,bannerghatta road,"beverages, cafe",600.0,
Black Mug Cafe,bannerghatta road,cafe,300.0,3.7
#refuel,bannerghatta road,"beverages, cafe",400.0,3.7
WAFL,bannerghatta road,"beverages, cafe, desserts, fast food",400.0,3.9
Vaho Kafe & Pressery,bannerghatta road,"asian, biryani, cafe, healthy food, italian, juices, north indian",500.0,3.9
Dreamcatcher,bannerghatta road,cafe,600.0,3.9
Cafe Coffee Day,bannerghatta road,"cafe, fast food",900.0,3.6
Cafe Arabica,bannerghatta road,"bakery, cafe",700.0,3.8
Starbucks,bannerghatta road,"cafe, desserts",700.0,3.9
Smoor,bannerghatta road,"beverages, cafe, desserts",900.0,3.6
Kalmane Koffees,bannerghatta road,cafe,350.0,3.9
Shee-Sha Cafe,bannerghatta road,"cafe, chinese, continental, north indian",800.0,3.6
Brews N Bites,bannerghatta road,"cafe, chinese, fast food, finger food, street food",650.0,2.7
D2V Cafe,bannerghatta road,cafe,700.0,3.6
Wellness Cafe,bannerghatta road,"cafe, healthy food",400.0,
Cafe Talk,bannerghatta road,"bakery, cafe, continental, desserts, north indian",700.0,3.3
Cafe Choco Craze,bannerghatta road,"cafe, desserts, fast food",400.0,3.7
Healthy Smoothie,bannerghatta road,"american, bakery, beverages, cafe, healthy food, juices, north indian, sandwich",300.0,
Me N U,bannerghatta road,"cafe, continental, finger food, healthy food, wraps",500.0,
Slate Cafe,jp nagar,"burger, cafe, sandwich",600.0,4.1
Dialogues,jp nagar,"cafe, continental",600.0,4.0
Cafe Zuppa,jp nagar,"cafe, fast food, pizza",450.0,
Mudpipe Cafe,jp nagar,"cafe, continental, north indian",800.0,3.9
TAB - Take A Break,jp nagar,"cafe, continental, italian",550.0,4.1
Biggies Burger 'n' More,jp nagar,"beverages, burger, cafe",650.0,4.1
Onesta,jp nagar,"cafe, italian, pizza",600.0,4.4
Cafe Potpourri,jp nagar,"beverages, cafe, desserts, north indian, sandwich",400.0,3.7
De Oxford Cafe,jp nagar,"beverages, cafe, fast food",500.0,3.7
Vinaya Coffee Moments,jp nagar,"burger, cafe, desserts, italian, sandwich",450.0,3.7
Brew Point,jp nagar,"american, burger, cafe, fast food, sandwich",500.0,3.6
The Cravery,jp nagar,"beverages, burger, cafe, continental, italian, rolls",500.0,2.6
Cuppa,jp nagar,"cafe, fast food",550.0,3.4
Anju's Cafe,jp nagar,"cafe, north indian",600.0,3.4
Furry Fairy Paw Paradise,jp nagar,cafe,500.0,
Junkealth,jp nagar,"beverages, cafe, healthy food",300.0,
Skytouch Le Cafe,jp nagar,"cafe, desserts, italian",700.0,3.7
Woodee Pizza,jp nagar,"beverages, cafe, fast food, pizza",500.0,2.7
Hearts Unlock Cafe,btm,"cafe, healthy food",500.0,3.2
eat.fit,btm,"biryani, continental, desserts, healthy food, north indian, sandwich",500.0,4.5
Sai Abhiruchi,btm,"andhra, biryani, north indian",800.0,3.7
Capsicum Family Restaurant,btm,"biryani, north indian",800.0,3.8
Box Magic,bannerghatta road,"north indian, rolls, seafood, south indian",400.0,3.6
Maa'r Rannaghor,jp nagar,"bengali, chinese",400.0,3.8
Easy Bites,jp nagar,"fast food, sandwich",300.0,4.1
Hiyar Majhe Kolkata,btm,"bengali, north indian",400.0,4.0
Dabba Gosht,jp nagar,"arabian, middle eastern",400.0,3.4
Empire Restaurant,jp nagar,"beverages, charcoal chicken, chinese, kerala, north indian, seafood, south indian",400.0,3.6
Punjabites,jp nagar,"charcoal chicken, north indian",400.0,3.7
Sri Lakshmi Dhaba,btm,north indian,250.0,2.9
XO Belgian Waffle,btm,"beverages, desserts",400.0,4.5
Swadista Aahar,btm,"chinese, north indian, south indian, street food",300.0,4.1
Vegetarea,btm,south indian,250.0,3.9
Al-Bek,jp nagar,"biryani, charcoal chicken, chinese, north indian, rolls, seafood",300.0,3.6
Aniram's,jp nagar,"chinese, north indian",500.0,4.1
Punjabi Nawabi,bannerghatta road,north indian,400.0,3.8
YummRajj,btm,fast food,500.0,3.3
Swad Punjab Da,btm,north indian,150.0,4.0
BOX8- Desi Meals,bannerghatta road,"fast food, mughlai, north indian",500.0,4.1
Roti Wala,btm,north indian,300.0,4.0
Midnight Mania,btm,"beverages, italian, pizza",700.0,4.1
Kitchens@JP Nagar,jp nagar,"andhra, biryani, chinese, kerala, mughlai, north indian, south indian, street food",400.0,3.9
Krishna Kuteera,bannerghatta road,"chinese, north indian, south indian",400.0,4.0
Apna Punjab,btm,"chinese, fast food, north indian",450.0,3.6
Paratha Junction,btm,"chinese, north indian",300.0,2.9
Nellore Bhojanam,bannerghatta road,andhra,250.0,3.1
Momoz,btm,"chinese, momos",600.0,4.0
Kalingas,btm,"fast food, oriya",250.0,3.9
Kanteen The Eatery,bannerghatta road,north indian,400.0,3.9
Kullad Cafe,btm,"beverages, cafe, fast food, north indian",200.0,3.9
Donne Biriyani House,jp nagar,"andhra, biryani",350.0,3.3
Litti Twist,btm,"bihari, north indian",300.0,4.1
FreshMenu,bannerghatta road,"american, biryani, burger, chinese, continental, healthy food, north indian, salad",450.0,3.3
Shanthi Sagar,jp nagar,"chinese, north indian, south indian",400.0,3.6
Cakebuy,bannerghatta road,desserts,350.0,3.9
Five Star Chicken,jp nagar,"burger, fast food, finger food, roast chicken",300.0,3.9
